,Day,Date,workoutActivityType,duration,durationUnit,activeEnergyBurned,basalEnergyBurned,hr_mean,hr_peak
84,Monday,2021-08-02,Walking,9.04286108414332,min,160.528,21.2082,166.295,166.295
85,Monday,2021-08-02,Walking,10.04391218225161,min,193.459,23.4635,175.947,175.947
86,Monday,2021-08-02,TraditionalStrengthTraining,30.02250095009804,min,414.483,69.316,142.22566666666668,151.284
87,Monday,2021-08-02,Cycling,11.5014963666598,min,176.898,26.9286,151.805,157.777
88,Thursday,2021-08-05,TraditionalStrengthTraining,48.12739863197009,min,432.152,110.908,119.475,127.016
89,Thursday,2021-08-05,Walking,8.250212766726811,min,140.723,19.1588,165.447,165.447
90,Friday,2021-08-06,TraditionalStrengthTraining,43.44741569956144,min,425.974,101.106,124.56380000000001,135.78
91,Friday,2021-08-06,Walking,10.52830531597137,min,188.311,24.5168,175.2125,178.0
92,Saturday,2021-08-07,TraditionalStrengthTraining,39.07440693378449,min,354.401,90.8846,120.32325,125.287
93,Saturday,2021-08-07,Walking,21.6485152343909,min,365.498,50.728,161.45766666666665,171.786
94,Sunday,2021-08-08,TraditionalStrengthTraining,51.30269221663475,min,499.709,119.38,122.52680000000001,133.606
95,Sunday,2021-08-08,Walking,10.28315183321635,min,149.781,24.1028,157.34,157.34
96,Monday,2021-08-09,TraditionalStrengthTraining,47.34064468344052,min,439.373,109.351,121.30460000000001,126.961
97,Monday,2021-08-09,Walking,5.578226798772812,min,102.211,12.8259,166.681,166.681
98,Wednesday,2021-08-11,TraditionalStrengthTraining,34.20020424922307,min,259.671,78.5302,111.50600000000001,118.391
99,Wednesday,2021-08-11,Walking,10.04594328204791,min,161.267,23.3983,157.751,157.751
100,Thursday,2021-08-12,TraditionalStrengthTraining,38.01203809976577,min,373.418,87.97,124.56750000000001,144.641
101,Thursday,2021-08-12,Walking,18.28413883447647,min,297.046,42.7994,162.75799999999998,164.033
102,Friday,2021-08-13,Walking,9.316495766242346,min,77.896,21.6,123.459,123.459
103,Wednesday,2021-08-18,TraditionalStrengthTraining,108.8801500837008,min,1719.99,254.2,160.24409090909091,184.895
104,Thursday,2021-08-19,Walking,12.75446883241336,min,174.808,29.7651,155.015,166.542
105,Thursday,2021-08-19,TraditionalStrengthTraining,59.87452343304952,min,806.894,138.143,143.55916666666667,160.52
106,Thursday,2021-08-19,Rowing,8.137273532152175,min,68.557,19.0166,164.619,164.619
107,Thursday,2021-08-19,Walking,22.50548502206802,min,120.076,52.166,121.9839756097561,132.0
108,Friday,2021-08-20,TraditionalStrengthTraining,57.6419281343619,min,586.59,133.868,125.89050000000002,133.124
109,Monday,2021-08-23,TraditionalStrengthTraining,43.01368210117023,min,439.527,99.2167,126.26700000000001,143.154
110,Monday,2021-08-23,Walking,8.899823500712712,min,154.29,20.462,171.302,171.302
111,Tuesday,2021-08-24,Basketball,45.38962954878807,min,761.052,106.049,164.074,173.819
112,Tuesday,2021-08-24,TraditionalStrengthTraining,40.29089153409004,min,505.373,93.0567,138.44,163.574
113,Tuesday,2021-08-24,Walking,42.89533523321152,min,250.641,100.363,135.78452777777778,155.0
114,Wednesday,2021-08-25,TraditionalStrengthTraining,59.62966459989548,min,570.198,138.745,123.93600000000002,129.294
115,Thursday,2021-08-26,TraditionalStrengthTraining,61.34005166689555,min,575.816,139.772,120.83230000000002,134.199
116,Thursday,2021-08-26,Basketball,18.06902078390122,min,218.636,40.5181,154.975,192.0
117,Friday,2021-08-27,TraditionalStrengthTraining,52.93689424991608,min,582.289,121.358,131.27285714285713,158.468
118,Sunday,2021-08-29,Walking,1.031576466560364,min,10.3207,2.11771,162.71428571428572,174.0
119,Monday,2021-08-30,TraditionalStrengthTraining,68.1678140660127,min,888.248,159.115,138.32728571428575,148.238
120,Monday,2021-08-30,Basketball,25.38093990087509,min,427.076,59.1637,153.29775,173.931
121,Tuesday,2021-08-31,TraditionalStrengthTraining,31.73488306601842,min,329.385,73.293,128.36333333333332,135.325
122,Wednesday,2021-09-01,TraditionalStrengthTraining,44.453140715758,min,613.314,103.632,143.8784,149.917
123,Wednesday,2021-09-01,Walking,12.88900066614151,min,165.332,29.8968,150.788,159.539
124,Thursday,2021-09-02,TraditionalStrengthTraining,53.15364276766777,min,804.741,123.786,151.315,161.628
125,Friday,2021-09-03,TraditionalStrengthTraining,48.91455346544583,min,655.605,114.152,139.3564,143.816
126,Tuesday,2021-09-07,TraditionalStrengthTraining,29.17710349957148,min,230.012,67.387,120.642,134.0
127,Tuesday,2021-09-07,Walking,15.92372128168742,min,277.124,37.0615,171.38350000000003,174.866
128,Tuesday,2021-09-07,TraditionalStrengthTraining,19.75884861548742,min,259.509,45.556,140.83300000000003,143.592
129,Tuesday,2021-09-07,FunctionalStrengthTraining,33.05793208281199,min,307.715,77.5326,125.87925,135.223
130,Wednesday,2021-09-08,TraditionalStrengthTraining,44.17550411820412,min,448.372,103.083,126.31320000000001,131.758
131,Wednesday,2021-09-08,Walking,18.13634191552798,min,129.673,42.1302,120.59700000000001,126.915
132,Thursday,2021-09-09,TraditionalStrengthTraining,32.11807588338852,min,336.424,74.46,127.37275,132.554
133,Thursday,2021-09-09,Walking,19.5541418671608,min,335.413,45.7758,172.086,178.45
